selection_for,collection_key,id,name,start_utc,end_utc,date,anchor_offset_days,aoi_hits,content_bytes,content_gib,online,product_type,processing_level,platform,orbit_direction,relative_orbit,polarisation,tile_id,cloud_cover_pct,s3_path,download_url,md5
S1 R057 central-east repeat-track pre/near-anchor/post,S1_GRD,3efbaab1-59d1-4502-8ff1-0721f265e269,S1C_IW_GRDH_1SDV_20260310T141544_20260310T141609_006703_00D884_6D35.SAFE,2026-03-10T14:15:44.456000Z,2026-03-10T14:16:09.455000Z,2026-03-10,10.594,hormuz_core;jask_oil_terminal,1697012407,1.58,True,IW_GRDH_1S,LEVEL1,C,ASCENDING,57,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/03/10/S1C_IW_GRDH_1SDV_20260310T141544_20260310T141609_006703_00D884_6D35.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(3efbaab1-59d1-4502-8ff1-0721f265e269)/$value,522f4fc0639f402867a0f1a5bd2896f5
S1 R057 central-east repeat-track pre/near-anchor/post,S1_GRD,2a2cdb76-0902-4bf9-959a-262ef179897a,S1C_IW_GRDH_1SDV_20260310T141609_20260310T141629_006703_00D884_C92C.SAFE,2026-03-10T14:16:09.456000Z,2026-03-10T14:16:29.108000Z,2026-03-10,10.595,bandar_abbas_rajaee;hormuz_core,1334773902,1.243,True,IW_GRDH_1S,LEVEL1,C,ASCENDING,57,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/03/10/S1C_IW_GRDH_1SDV_20260310T141609_20260310T141629_006703_00D884_C92C.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(2a2cdb76-0902-4bf9-959a-262ef179897a)/$value,97394fa7359c74bc1416c520743712f6
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,139f274e-dedf-4c61-8cad-f76d4f0d1879,S1A_IW_GRDH_1SDV_20260312T021444_20260312T021509_063588_07FDE5_5107.SAFE,2026-03-12T02:14:44.591620Z,2026-03-12T02:15:09.590100Z,2026-03-12,12.094,bandar_abbas_rajaee;hormuz_core,1728875942,1.61,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/03/12/S1A_IW_GRDH_1SDV_20260312T021444_20260312T021509_063588_07FDE5_5107.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(139f274e-dedf-4c61-8cad-f76d4f0d1879)/$value,e07191e49f56cb35c85e3da389eea872
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,68a4fcc2-c260-4a67-9e6a-d51120240d07,S1A_IW_GRDH_1SDV_20260312T021509_20260312T021534_063588_07FDE5_B638.SAFE,2026-03-12T02:15:09.591596Z,2026-03-12T02:15:34.590075Z,2026-03-12,12.094,bandar_abbas_rajaee;hormuz_core;sirri_island,1728472434,1.61,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/03/12/S1A_IW_GRDH_1SDV_20260312T021509_20260312T021534_063588_07FDE5_B638.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(68a4fcc2-c260-4a67-9e6a-d51120240d07)/$value,8accfc3b5ec88434c0b675eda401895c
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,086f80b2-4ecf-43eb-a3d1-19896359a1d5,S1A_IW_GRDH_1SDV_20260312T021534_20260312T021557_063588_07FDE5_09C9.SAFE,2026-03-12T02:15:34.591587Z,2026-03-12T02:15:57.915128Z,2026-03-12,12.094,hormuz_core;sirri_island,1612352764,1.502,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/03/12/S1A_IW_GRDH_1SDV_20260312T021534_20260312T021557_063588_07FDE5_09C9.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(086f80b2-4ecf-43eb-a3d1-19896359a1d5)/$value,652000e3fb0210612f63f738329c1acf
S2 R120 east-gateway low-cloud pre/anchor/post,S2_L2A,4ffcf3af-8666-4970-93df-2773c940836f,S2C_MSIL2A_20260223T063851_N0512_R120_T40REP_20260223T110808.SAFE,2026-02-23T06:38:51.025000Z,2026-02-23T06:38:51.025000Z,2026-02-23,-4.723,hormuz_core;jask_oil_terminal,808245452,0.753,True,S2MSI2A,S2MSI2A,C,,120,,40REP,0.001634,/eodata/Sentinel-2/MSI/L2A/2026/02/23/S2C_MSIL2A_20260223T063851_N0512_R120_T40REP_20260223T110808.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(4ffcf3af-8666-4970-93df-2773c940836f)/$value,ab1d824bd8d19b28f012b07523fa0ec0
S2 R120 east-gateway low-cloud pre/anchor/post,S2_L2A,b32c047c-fc59-4a95-897f-b5f5c8c6d3dd,S2C_MSIL2A_20260223T063851_N0512_R120_T40REQ_20260223T095211.SAFE,2026-02-23T06:38:51.025000Z,2026-02-23T06:38:51.025000Z,2026-02-23,-4.723,hormuz_core,1016024973,0.946,True,S2MSI2A,S2MSI2A,C,,120,,40REQ,0.00507,/eodata/Sentinel-2/MSI/L2A/2026/02/23/S2C_MSIL2A_20260223T063851_N0512_R120_T40REQ_20260223T095211.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(b32c047c-fc59-4a95-897f-b5f5c8c6d3dd)/$value,3dfa65cee2ea078e347ce2f56a967b19
S2 R120 east-gateway low-cloud pre/anchor/post,S2_L2A,7b362dc8-10fe-4522-8e89-39279cabaa85,S2B_MSIL2A_20260228T063719_N0512_R120_T40REP_20260228T103748.SAFE,2026-02-28T06:37:19.024000Z,2026-02-28T06:37:19.024000Z,2026-02-28,0.276,hormuz_core;jask_oil_terminal,952935009,0.887,True,S2MSI2A,S2MSI2A,B,,120,,40REP,0.009015,/eodata/Sentinel-2/MSI/L2A/2026/02/28/S2B_MSIL2A_20260228T063719_N0512_R120_T40REP_20260228T103748.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(7b362dc8-10fe-4522-8e89-39279cabaa85)/$value,9b4ecd95c2a8c2c9a356e5db0f75c450
S2 R120 east-gateway low-cloud pre/anchor/post,S2_L2A,ef31c8e1-1321-4fad-b7ad-a9653a8d79db,S2B_MSIL2A_20260228T063719_N0512_R120_T40REQ_20260228T103748.SAFE,2026-02-28T06:37:19.024000Z,2026-02-28T06:37:19.024000Z,2026-02-28,0.276,hormuz_core,1012162704,0.943,True,S2MSI2A,S2MSI2A,B,,120,,40REQ,0.012563,/eodata/Sentinel-2/MSI/L2A/2026/02/28/S2B_MSIL2A_20260228T063719_N0512_R120_T40REQ_20260228T103748.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(ef31c8e1-1321-4fad-b7ad-a9653a8d79db)/$value,b158662b2c03dead4b29458b9523ca30
S2 R120 east-gateway low-cloud pre/anchor/post,S2_L2A,556b37e1-eb51-4f2c-84fc-a7116f57344c,S2C_MSIL2A_20260305T063741_N0512_R120_T40REP_20260305T112714.SAFE,2026-03-05T06:37:41.025000Z,2026-03-05T06:37:41.025000Z,2026-03-05,5.276,hormuz_core;jask_oil_terminal,1017761666,0.948,True,S2MSI2A,S2MSI2A,C,,120,,40REP,13.324763,/eodata/Sentinel-2/MSI/L2A/2026/03/05/S2C_MSIL2A_20260305T063741_N0512_R120_T40REP_20260305T112714.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(556b37e1-eb51-4f2c-84fc-a7116f57344c)/$value,433722445376f9f542d35d8cba5ad547
S2 R120 east-gateway low-cloud pre/anchor/post,S2_L2A,845b9e83-9973-4ef5-9f2a-17604d85504d,S2C_MSIL2A_20260305T063741_N0512_R120_T40REQ_20260305T112714.SAFE,2026-03-05T06:37:41.025000Z,2026-03-05T06:37:41.025000Z,2026-03-05,5.276,hormuz_core,1007336701,0.938,True,S2MSI2A,S2MSI2A,C,,120,,40REQ,15.228133,/eodata/Sentinel-2/MSI/L2A/2026/03/05/S2C_MSIL2A_20260305T063741_N0512_R120_T40REQ_20260305T112714.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(845b9e83-9973-4ef5-9f2a-17604d85504d)/$value,d82879667d05657c1e00991bc1c363c3
